,Source,Target,Strength
193,需要-空气,有-茎,6
194,需要-空气,有-营养,9
195,需要-空气,像-球,8
196,需要-空气,有-多种种类,15
197,需要-空气,有-毛,10
198,需要-空气,需要-保护,12
199,需要-空气,可以-买卖,8
200,需要-空气,是-圆形,7
201,需要-空气,有-多种颜色,7
202,需要-空气,是-水果,7
203,需要-空气,是-甜的,6
204,需要-空气,有-皮,10
205,需要-空气,有-果肉,8
206,需要-空气,需要-采摘,9
207,需要-空气,需要-营养,6
208,需要-空气,有-果实,6
209,需要-空气,有-种子,6
210,需要-空气,是-黑色的,7
211,需要-空气,可以-飞,6
212,需要-空气,是-动物,12
213,需要-空气,是-鸟,6
214,需要-空气,需要-食物,12
215,需要-空气,有-翅膀,6
216,需要-空气,有-羽毛,6
217,需要-空气,有-嘴巴,12
218,需要-空气,有-爪子,9
219,需要-空气,需要-睡觉,12
220,需要-空气,有-眼睛,12
221,需要-空气,有-头,8
222,需要-空气,是-生物,6
223,需要-空气,有-脚,6
224,需要-空气,有-尾巴,10
225,需要-空气,是-哺乳类,6
226,需要-空气,有-鼻子,7
227,需要-空气,有-四肢,7
228,需要-空气,可以-跑,6
229,需要-空气,可以-捕猎,8
230,需要-空气,可以-观赏,7
231,需要-空气,可以-繁衍,6
232,可以-炒,需要-土,6
233,可以-炒,需要-种植,6
234,可以-炒,有-茎,6
235,需要-肥料,需要-土,11
236,需要-肥料,有-水,6
237,需要-肥料,有-维生素,7
238,需要-肥料,需要-清洗,6
239,需要-肥料,需要-种植,11
240,需要-肥料,有-营养,8
241,需要-肥料,像-球,7
242,需要-肥料,有-多种种类,8
243,需要-肥料,可以-买卖,7
244,需要-肥料,是-圆形,7
245,需要-肥料,是-水果,6
246,需要-肥料,是-甜的,6
247,需要-肥料,有-皮,9
248,需要-肥料,有-果肉,7
249,需要-肥料,需要-采摘,8
250,需要-肥料,有-果实,6
251,需要-肥料,有-种子,6
252,需要-土,有-水,7
253,需要-土,有-维生素,8
254,需要-土,需要-清洗,7
255,需要-土,需要-种植,12
256,需要-土,有-茎,6
257,需要-土,有-营养,9
258,需要-土,像-球,7
259,需要-土,有-多种种类,9
260,需要-土,可以-买卖,8
261,需要-土,是-圆形,7
262,需要-土,是-水果,7
263,需要-土,是-甜的,6
264,需要-土,有-皮,10
265,需要-土,有-果肉,8
266,需要-土,需要-采摘,9
267,需要-土,需要-营养,6
268,需要-土,有-果实,6
269,需要-土,有-种子,6
270,有-水,有-维生素,6
271,有-水,需要-种植,7
272,有-水,有-营养,6
273,有-水,有-多种种类,6
274,有-水,可以-买卖,7
275,有-水,有-皮,6
276,有-维生素,需要-种植,8
277,有-维生素,有-营养,7
278,有-维生素,有-多种种类,6
279,有-维生素,可以-买卖,6
280,有-维生素,有-皮,7
281,有-维生素,有-果肉,6
282,是-黄色的,有-多种种类,6
283,需要-呼吸,有-毛,6
284,需要-清洗,需要-种植,7
285,需要-清洗,有-营养,6
286,需要-清洗,像-球,6
287,需要-清洗,有-多种种类,15
288,需要-清洗,是-器官,6
289,需要-清洗,需要-保护,6
290,需要-清洗,是-身体部位,6
291,需要-清洗,是-软的,7
292,需要-清洗,有-多种型号,8
293,需要-清洗,可以-买卖,14
294,需要-清洗,是-工具,7
295,需要-清洗,需要-制造,12
296,需要-清洗,有-多种颜色,14
297,需要-清洗,有-多种材质,9
298,需要-清洗,是-衣服,6
299,需要-清洗,可以-穿,6
300,需要-清洗,可以-保暖,6
301,需要-清洗,是-服饰,6
302,需要-清洗,有-布,7
303,需要-清洗,有-多种样式,10
304,需要-清洗,有-皮,6
305,需要-清洗,是-长的,8
306,需要-清洗,是-硬的,6
307,需要-清洗,需要-采摘,6
308,需要-种植,有-茎,6
309,需要-种植,有-营养,9
310,需要-种植,像-球,7
311,需要-种植,有-多种种类,9
312,需要-种植,可以-买卖,8
313,需要-种植,是-圆形,7
314,需要-种植,是-水果,7
315,需要-种植,是-甜的,6
316,需要-种植,有-皮,10
317,需要-种植,有-果肉,8
318,需要-种植,需要-采摘,9
319,需要-种植,需要-营养,6
320,需要-种植,有-果实,6
321,需要-种植,有-种子,6
322,有-营养,有-多种种类,7
323,有-营养,可以-买卖,6
324,有-营养,有-皮,8
325,有-营养,有-果肉,6
326,有-营养,需要-采摘,6
327,像-球,有-多种种类,7
328,像-球,是-圆形,6
329,像-球,有-皮,6
330,像-球,需要-采摘,6
331,有-多种种类,有-毛,7
332,有-多种种类,需要-保护,6
333,有-多种种类,有-多种型号,10
334,有-多种种类,可以-买卖,16
335,有-多种种类,是-工具,6
336,有-多种种类,有-腿,7
337,有-多种种类,是-圆形,8
338,有-多种种类,需要-制造,10
339,有-多种种类,有-多种颜色,15
340,有-多种种类,有-多种材质,9
341,有-多种种类,有-布,6
342,有-多种种类,有-多种样式,9
343,有-多种种类,是-水果,6
344,有-多种种类,有-皮,9
345,有-多种种类,是-长的,8
346,有-多种种类,有-果肉,6
347,有-多种种类,需要-采摘,7
348,有-多种种类,是-动物,6
349,有-多种种类,需要-食物,6
350,有-多种种类,有-嘴巴,6
351,有-多种种类,需要-睡觉,6
352,有-多种种类,有-眼睛,6
353,是-器官,需要-保护,6
354,是-器官,是-身体部位,6
355,有-毛,需要-保护,8
356,有-毛,是-动物,8
357,有-毛,需要-食物,8
358,有-毛,有-嘴巴,8
359,有-毛,需要-睡觉,8
360,有-毛,有-眼睛,8
361,有-毛,有-尾巴,6
362,有-毛,是-哺乳类,6
363,有-毛,有-鼻子,7
364,有-毛,有-四肢,6
365,有-毛,可以-跑,6
366,需要-保护,是-身体部位,6
367,需要-保护,有-皮肤,8
368,需要-保护,可以-飞,6
369,需要-保护,是-动物,11
370,需要-保护,是-鸟,6
371,需要-保护,需要-食物,11
372,需要-保护,有-翅膀,6
373,需要-保护,有-羽毛,6
374,需要-保护,有-嘴巴,11
375,需要-保护,有-爪子,8
376,需要-保护,需要-睡觉,11
377,需要-保护,有-眼睛,11
378,需要-保护,有-头,7
379,需要-保护,有-脚,6
380,需要-保护,有-尾巴,9
381,需要-保护,有-鼻子,6
382,需要-保护,有-四肢,6
383,需要-保护,可以-捕猎,8
384,需要-保护,可以-观赏,6
385,有-多种型号,可以-买卖,11
386,有-多种型号,需要-制造,7
387,有-多种型号,有-多种颜色,8
388,有-多种型号,有-多种材质,6
389,有-多种型号,有-多种样式,8
390,可以-买卖,是-工具,9
391,可以-买卖,需要-保养,7
392,可以-买卖,是-圆形,6
393,可以-买卖,需要-制造,12
394,可以-买卖,有-多种颜色,13
395,可以-买卖,有-多种材质,8
396,可以-买卖,有-布,7
397,可以-买卖,有-多种样式,13
398,可以-买卖,是-水果,7
399,可以-买卖,是-甜的,6
400,可以-买卖,有-皮,9
401,可以-买卖,是-长的,7
402,可以-买卖,有-果肉,7
403,可以-买卖,需要-采摘,6
404,可以-买卖,有-把手,6
405,可以-买卖,是-生活用品,6
406,是-工具,需要-保养,6
407,是-工具,需要-制造,9
408,是-工具,有-多种样式,6
409,是-工具,其他-交通,6
410,是-工具,需要-驾驶,6
411,是-工具,是-金属,6
412,是-工具,有-座位,6
413,需要-保养,有-多种样式,6
414,是-圆形,有-皮,7
415,是-圆形,需要-采摘,6
416,是-圆形,有-果实,6
417,需要-制造,有-多种颜色,11
418,需要-制造,有-多种材质,11
419,需要-制造,是-衣服,6
420,需要-制造,可以-穿,6
421,需要-制造,可以-保暖,6
422,需要-制造,是-服饰,6
423,需要-制造,有-布,8
424,需要-制造,有-多种样式,13
425,需要-制造,是-生活用品,7
426,有-多种颜色,有-多种材质,10
427,有-多种颜色,是-衣服,6
428,有-多种颜色,可以-穿,6
429,有-多种颜色,可以-保暖,6
430,有-多种颜色,是-服饰,6
431,有-多种颜色,有-布,7
432,有-多种颜色,有-多种样式,11
433,有-多种颜色,是-长的,6
434,有-多种材质,有-布,7
435,有-多种材质,有-多种样式,9
436,是-衣服,可以-穿,6
437,是-衣服,可以-保暖,6
438,是-衣服,是-服饰,6
439,是-衣服,有-多种样式,6
440,可以-穿,可以-保暖,6
441,可以-穿,是-服饰,6
442,可以-穿,有-多种样式,6
443,可以-保暖,是-服饰,6
444,可以-保暖,有-多种样式,6
445,是-服饰,有-多种样式,6
446,有-布,有-多种样式,8
447,其他-交通,需要-驾驶,6
448,其他-交通,需要-维护,6
449,是-水果,是-甜的,6
450,是-水果,有-皮,7
451,是-水果,有-果肉,7
452,是-水果,需要-采摘,6
453,是-甜的,有-皮,6
454,是-甜的,有-果肉,6
455,有-皮,有-果肉,8
456,有-皮,需要-采摘,8
457,有-皮,有-果实,6
458,有-皮,有-种子,6
459,有-果肉,需要-采摘,7
460,可以-飞,是-动物,6
461,可以-飞,是-鸟,6
462,可以-飞,需要-食物,6
463,可以-飞,有-翅膀,6
464,可以-飞,有-羽毛,6
465,可以-飞,有-嘴巴,6
466,可以-飞,有-爪子,6
467,可以-飞,需要-睡觉,6
468,可以-飞,有-眼睛,6
469,可以-飞,有-脚,6
470,是-动物,是-鸟,6
471,是-动物,需要-食物,12
472,是-动物,有-翅膀,6
473,是-动物,有-羽毛,6
474,是-动物,有-嘴巴,12
475,是-动物,有-爪子,9
476,是-动物,需要-睡觉,12
477,是-动物,有-眼睛,12
478,是-动物,有-头,8
479,是-动物,是-生物,6
480,是-动物,有-脚,6
481,是-动物,有-尾巴,10
482,是-动物,是-哺乳类,6
483,是-动物,有-鼻子,7
484,是-动物,有-四肢,7
485,是-动物,可以-跑,6
486,是-动物,可以-捕猎,8
487,是-动物,可以-观赏,6
488,是-动物,可以-繁衍,6
489,是-鸟,需要-食物,6
490,是-鸟,有-翅膀,6
491,是-鸟,有-羽毛,6
492,是-鸟,有-嘴巴,6
493,是-鸟,有-爪子,6
494,是-鸟,需要-睡觉,6
495,是-鸟,有-眼睛,6
496,是-鸟,有-脚,6
497,需要-食物,有-翅膀,6
498,需要-食物,有-羽毛,6
499,需要-食物,有-嘴巴,12
500,需要-食物,有-爪子,9
501,需要-食物,需要-睡觉,12
502,需要-食物,有-眼睛,12
503,需要-食物,有-头,8
504,需要-食物,是-生物,6
505,需要-食物,有-脚,6
506,需要-食物,有-尾巴,10
507,需要-食物,是-哺乳类,6
508,需要-食物,有-鼻子,7
509,需要-食物,有-四肢,7
510,需要-食物,可以-跑,6
511,需要-食物,可以-捕猎,8
512,需要-食物,可以-观赏,6
513,需要-食物,可以-繁衍,6
514,有-翅膀,有-羽毛,6
515,有-翅膀,有-嘴巴,6
516,有-翅膀,有-爪子,6
517,有-翅膀,需要-睡觉,6
518,有-翅膀,有-眼睛,6
519,有-翅膀,有-脚,6
520,有-羽毛,有-嘴巴,6
521,有-羽毛,有-爪子,6
522,有-羽毛,需要-睡觉,6
523,有-羽毛,有-眼睛,6
524,有-羽毛,有-脚,6
525,有-嘴巴,有-爪子,9
526,有-嘴巴,需要-睡觉,12
527,有-嘴巴,有-眼睛,12
528,有-嘴巴,有-头,8
529,有-嘴巴,是-生物,6
530,有-嘴巴,有-脚,6
531,有-嘴巴,有-尾巴,10
532,有-嘴巴,是-哺乳类,6
533,有-嘴巴,有-鼻子,7
534,有-嘴巴,有-四肢,7
535,有-嘴巴,可以-跑,6
536,有-嘴巴,可以-捕猎,8
537,有-嘴巴,可以-观赏,6
538,有-嘴巴,可以-繁衍,6
539,有-爪子,需要-睡觉,9
540,有-爪子,有-眼睛,9
541,有-爪子,有-头,8
542,有-爪子,有-脚,6
543,有-爪子,有-尾巴,7
544,有-爪子,可以-捕猎,7
545,需要-睡觉,有-眼睛,12
546,需要-睡觉,有-头,8
547,需要-睡觉,是-生物,6
548,需要-睡觉,有-脚,6
549,需要-睡觉,有-尾巴,10
550,需要-睡觉,是-哺乳类,6
551,需要-睡觉,有-鼻子,7
552,需要-睡觉,有-四肢,7
553,需要-睡觉,可以-跑,6
554,需要-睡觉,可以-捕猎,8
555,需要-睡觉,可以-观赏,6
556,需要-睡觉,可以-繁衍,6
557,有-眼睛,有-头,8
558,有-眼睛,是-生物,6
559,有-眼睛,有-脚,6
560,有-眼睛,有-尾巴,10
561,有-眼睛,是-哺乳类,6
562,有-眼睛,有-鼻子,7
563,有-眼睛,有-四肢,7
564,有-眼睛,可以-跑,6
565,有-眼睛,可以-捕猎,8
566,有-眼睛,可以-观赏,6
567,有-眼睛,可以-繁衍,6
568,有-头,有-尾巴,7
569,有-头,可以-捕猎,6
570,有-尾巴,是-哺乳类,6
571,有-尾巴,有-鼻子,6
572,有-尾巴,有-四肢,7
573,有-尾巴,可以-捕猎,6
574,是-哺乳类,有-鼻子,6
575,是-哺乳类,有-四肢,6
576,有-鼻子,有-四肢,6
