Concept,Rel,Feature,Frequency,上级类别,下级类别,impair
餐桌,可以,可以-放餐具,2.0,人造物,家具,0
餐桌,可以,可以-放饭菜,2.0,人造物,家具,1
餐桌,可以,可以-放盘子,2.0,人造物,家具,1
餐桌,可以,可以-放碗,2.0,人造物,家具,0
餐桌,可以,可以-使用,2.0,人造物,家具,0
餐桌,可以,可以-用来吃饭,2.0,人造物,家具,0
餐桌,像,像-方块,2.0,人造物,家具,1
餐桌,像,像-麻将桌,2.0,人造物,家具,1
餐桌,像,像-写字台,2.0,人造物,家具,0
餐桌,需要,需要-打扫,2.0,人造物,家具,0
餐桌,需要,需要-加工,2.0,人造物,家具,0
餐桌,需要,需要-清洁,2.0,人造物,家具,0
餐桌,需要,需要-桌布,2.0,人造物,家具,1
餐桌,有,有-多种材质,2.0,人造物,家具,0
餐桌,有,有-桌板,2.0,人造物,家具,0
餐桌,有,有-桌角,2.0,人造物,家具,0
车库,可以,可以-停车,23.0,人造物,建筑,0
车库,需要,需要-打扫,12.0,人造物,建筑,1
车库,是,是-房屋,11.0,人造物,建筑,0
车库,有,有-门,10.0,人造物,建筑,1
车库,有,有-车,9.0,人造物,建筑,0
车库,是,是-建筑,6.0,人造物,建筑,0
车库,是,是-空间,6.0,人造物,建筑,1
车库,是,是-场所,5.0,人造物,建筑,0
车库,是,是-大的,5.0,人造物,建筑,0
车库,是,是-空的,4.0,人造物,建筑,0
车库,是,是-宽广的,4.0,人造物,建筑,0
车库,像,像-储藏室,4.0,人造物,建筑,1
车库,像,像-停车场,4.0,人造物,建筑,1
车库,有,有-灯,4.0,人造物,建筑,0
车库,可以,可以-放车,3.0,人造物,建筑,1
车库,可以,可以-放杂物,3.0,人造物,建筑,1
车库,可以,可以-买卖,3.0,人造物,建筑,0
车库,其他,其他-地下,3.0,人造物,建筑,0
车库,是,是-黑暗的,3.0,人造物,建筑,0
车库,像,像-盒子,3.0,人造物,建筑,1
车库,有,有-车位,3.0,人造物,建筑,1
车库,有,有-墙,3.0,人造物,建筑,0
车库,可以,可以-储物,2.0,人造物,建筑,0
车库,可以,可以-存车,2.0,人造物,建筑,0
车库,可以,可以-存放车辆,2.0,人造物,建筑,1
车库,是,是-阴暗的,2.0,人造物,建筑,0
车库,像,像-地下室,2.0,人造物,建筑,1
车库,像,像-库房,2.0,人造物,建筑,0
车库,需要,需要-钥匙,2.0,人造物,建筑,0
车库,有,有-大门,2.0,人造物,建筑,1
车库,有,有-面积,2.0,人造物,建筑,0
车库,有,有-柱子,2.0,人造物,建筑,0
衬衫,是,是-衣服,23.2258064516129,人造物,服饰,1
衬衫,可以,可以-穿,22.258064516129,人造物,服饰,1
衬衫,有,有-领子,19.3548387096774,人造物,服饰,1
衬衫,有,有-扣子,16.4516129032258,人造物,服饰,0
衬衫,需要,需要-清洗,15.4838709677419,人造物,服饰,0
衬衫,有,有-袖子,15.4838709677419,人造物,服饰,1
衬衫,可以,可以-保暖,8.70967741935484,人造物,服饰,0
衬衫,需要,需要-熨烫,8.70967741935484,人造物,服饰,0
衬衫,是,是-服饰,7.74193548387097,人造物,服饰,1
衬衫,有,有-多种颜色,7.74193548387097,人造物,服饰,1
衬衫,是,是-上衣,6.7741935483871,人造物,服饰,0
衬衫,有,有-布,6.7741935483871,人造物,服饰,0
衬衫,可以,可以-买卖,5.80645161290323,人造物,服饰,0
衬衫,像,像-外套,5.80645161290323,人造物,服饰,0
衬衫,是,是-正式的,4.83870967741935,人造物,服饰,0
衬衫,需要,需要-缝纫,4.83870967741935,人造物,服饰,0
衬衫,需要,需要-设计,4.83870967741935,人造物,服饰,1
衬衫,需要,需要-制造,4.83870967741935,人造物,服饰,1
衬衫,有,有-多种样式,4.83870967741935,人造物,服饰,1
衬衫,是,是-软的,2.90322580645161,人造物,服饰,1
衬衫,需要,需要-剪裁,2.90322580645161,人造物,服饰,0
衬衫,需要,需要-晾干,2.90322580645161,人造物,服饰,0
衬衫,需要,需要-阳光,2.90322580645161,人造物,服饰,1
衬衫,有,有-袋子,2.90322580645161,人造物,服饰,1
衬衫,有,有-多种材质,2.90322580645161,人造物,服饰,1
衬衫,可以,可以-打底,1.93548387096774,人造物,服饰,1
衬衫,可以,可以-御寒,1.93548387096774,人造物,服饰,1
衬衫,是,是-白色的,1.93548387096774,人造物,服饰,0
衬衫,像,像-窗帘,1.93548387096774,人造物,服饰,1
衬衫,像,像-西装,1.93548387096774,人造物,服饰,0
衬衫,像,像-纸,1.93548387096774,人造物,服饰,0
衬衫,需要,需要-整理,1.93548387096774,人造物,服饰,0
衬衫,有,有-多种价格,1.93548387096774,人造物,服饰,0
衬衫,有,有-多种品牌,1.93548387096774,人造物,服饰,0
衬衫,有,有-多种种类,1.93548387096774,人造物,服饰,1
衬衫,有,有-花纹,1.93548387096774,人造物,服饰,0
衬衫,有,有-男款的,1.93548387096774,人造物,服饰,1
衬衫,有,有-女士的,1.93548387096774,人造物,服饰,0
衬衫,有,有-图案,1.93548387096774,人造物,服饰,0
衬衫,有,有-线,1.93548387096774,人造物,服饰,1
耳朵,可以,可以-听,24.1935483870968,身体部位,身体部位,0
耳朵,是,是-器官,23.2258064516129,身体部位,身体部位,1
耳朵,需要,需要-保护,22.258064516129,身体部位,身体部位,0
耳朵,有,有-耳廓,11.6129032258065,身体部位,身体部位,0
耳朵,需要,需要-清洗,9.67741935483871,身体部位,身体部位,0
耳朵,其他,其他-人,8.70967741935484,身体部位,身体部位,0
耳朵,有,有-耳垂,8.70967741935484,身体部位,身体部位,0
耳朵,有,有-耳蜗,7.74193548387097,身体部位,身体部位,0
耳朵,是,是-身体部位,5.80645161290323,身体部位,身体部位,0
耳朵,像,像-3,4.83870967741935,身体部位,身体部位,0
耳朵,有,有-耳膜,4.83870967741935,身体部位,身体部位,0
耳朵,可以,可以-戴耳环,3.87096774193548,身体部位,身体部位,1
耳朵,是,是-五官,3.87096774193548,身体部位,身体部位,0
耳朵,有,有-耳道,3.87096774193548,身体部位,身体部位,0
耳朵,可以,可以-打耳洞,2.90322580645161,身体部位,身体部位,1
耳朵,其他,其他-动物,2.90322580645161,身体部位,身体部位,0
耳朵,是,是-软的,2.90322580645161,身体部位,身体部位,0
耳朵,是,是-重要的,2.90322580645161,身体部位,身体部位,0
耳朵,像,像-蜗牛,2.90322580645161,身体部位,身体部位,0
耳朵,像,像-月亮,2.90322580645161,身体部位,身体部位,0
耳朵,有,有-多种形状,2.90322580645161,身体部位,身体部位,0
耳朵,有,有-耳洞,2.90322580645161,身体部位,身体部位,1
耳朵,有,有-骨骼,2.90322580645161,身体部位,身体部位,0
耳朵,有,有-两只,2.90322580645161,身体部位,身体部位,0
耳朵,有,有-神经,2.90322580645161,身体部位,身体部位,1
耳朵,可以,可以-戴耳机,1.93548387096774,身体部位,身体部位,0
耳朵,可以,可以-听到声音,1.93548387096774,身体部位,身体部位,0
耳朵,是,是-成对的,1.93548387096774,身体部位,身体部位,1
耳朵,是,是-小的,1.93548387096774,身体部位,身体部位,0
耳朵,像,像-喇叭,1.93548387096774,身体部位,身体部位,0
耳朵,像,像-猫耳朵,1.93548387096774,身体部位,身体部位,1
耳朵,像,像-木耳,1.93548387096774,身体部位,身体部位,0
耳朵,像,像-蒲扇,1.93548387096774,身体部位,身体部位,0
耳朵,需要,需要-血,1.93548387096774,身体部位,身体部位,0
耳朵,有,有-耳屎,1.93548387096774,身体部位,身体部位,0
耳朵,有,有-耳眼,1.93548387096774,身体部位,身体部位,0
耳朵,有,有-功能,1.93548387096774,身体部位,身体部位,1
耳朵,有,有-皮肤,1.93548387096774,身体部位,身体部位,0
耳朵,有,有-软骨,1.93548387096774,身体部位,身体部位,0
耳朵,有,有-听觉,1.93548387096774,身体部位,身体部位,0
耳朵,有,有-血管,1.93548387096774,身体部位,身体部位,0
耳朵,有,有-猪耳朵,1.93548387096774,身体部位,身体部位,1
帆船,有,有-帆,16.0,交通工具,船,0
帆船,其他,其他-交通,14.0,交通工具,船,1
帆船,是,是-工具,14.0,交通工具,船,0
帆船,是,是-船,11.0,交通工具,船,1
帆船,有,有-帆布,6.0,交通工具,船,0
帆船,需要,需要-风,5.0,交通工具,船,1
帆船,可以,可以-航行,4.0,交通工具,船,1
帆船,有,有-船身,4.0,交通工具,船,0
帆船,像,像-树叶,3.0,交通工具,船,0
帆船,需要,需要-水,3.0,交通工具,船,0
帆船,有,有-布,3.0,交通工具,船,0
帆船,有,有-船帆,3.0,交通工具,船,1
帆船,有,有-船体,3.0,交通工具,船,0
帆船,有,有-甲板,3.0,交通工具,船,0
帆船,可以,可以-划,2.0,交通工具,船,0
帆船,是,是-海里的,2.0,交通工具,船,1
帆船,是,是-木的,2.0,交通工具,船,0
帆船,是,是-水上工具,2.0,交通工具,船,0
帆船,像,像-轮船,2.0,交通工具,船,0
帆船,需要,需要-驾驶,2.0,交通工具,船,0
帆船,需要,需要-人,2.0,交通工具,船,0
帆船,有,有-船员,2.0,交通工具,船,0
帆船,有,有-舵,2.0,交通工具,船,1
帆船,有,有-木板,2.0,交通工具,船,1
帆船,有,有-桅杆,2.0,交通工具,船,0
甘蔗,是,是-食物,23.7931034482759,植物,水果,0
甘蔗,是,是-水果,13.448275862069,植物,水果,0
甘蔗,是,是-甜的,12.4137931034483,植物,水果,0
甘蔗,像,像-竹子,12.4137931034483,植物,水果,1
甘蔗,需要,需要-水,12.4137931034483,植物,水果,1
甘蔗,需要,需要-阳光,10.3448275862069,植物,水果,0
甘蔗,是,是-植物,9.31034482758621,植物,水果,1
甘蔗,像,像-棍棒,9.31034482758621,植物,水果,0
甘蔗,有,有-皮,8.27586206896552,植物,水果,0
甘蔗,需要,需要-种植,7.24137931034483,植物,水果,0
甘蔗,有,有-水,7.24137931034483,植物,水果,0
甘蔗,有,有-糖,7.24137931034483,植物,水果,0
甘蔗,需要,需要-空气,6.20689655172414,植物,水果,0
甘蔗,是,是-长的,5.17241379310345,植物,水果,0
甘蔗,需要,需要-肥料,5.17241379310345,植物,水果,1
甘蔗,有,有-维生素,5.17241379310345,植物,水果,0
甘蔗,有,有-汁水,5.17241379310345,植物,水果,1
甘蔗,需要,需要-土,4.13793103448276,植物,水果,1
甘蔗,需要,需要-削皮,4.13793103448276,植物,水果,0
甘蔗,有,有-叶子,4.13793103448276,植物,水果,0
甘蔗,可以,可以-解渴,3.10344827586207,植物,水果,0
甘蔗,可以,可以-买卖,3.10344827586207,植物,水果,0
甘蔗,是,是-硬的,3.10344827586207,植物,水果,0
甘蔗,有,有-果肉,3.10344827586207,植物,水果,0
甘蔗,是,是-杆状的,2.06896551724138,植物,水果,0
甘蔗,是,是-黄色的,2.06896551724138,植物,水果,0
甘蔗,像,像-玉米,2.06896551724138,植物,水果,0
甘蔗,有,有-蛋白质,2.06896551724138,植物,水果,0
甘蔗,有,有-多种颜色,2.06896551724138,植物,水果,1
甘蔗,有,有-根,2.06896551724138,植物,水果,1
甘蔗,有,有-营养,2.06896551724138,植物,水果,1
甘蔗,有,有-蔗糖,2.06896551724138,植物,水果,1
甘蔗,有,有-脂肪,2.06896551724138,植物,水果,0
柑橘,是,是-食物,25.8620689655172,植物,水果,1
柑橘,是,是-水果,23.7931034482759,植物,水果,1
柑橘,有,有-皮,18.6206896551724,植物,水果,0
柑橘,像,像-橙子,13.448275862069,植物,水果,0
柑橘,是,是-甜的,11.3793103448276,植物,水果,0
柑橘,是,是-橙色的,9.31034482758621,植物,水果,1
柑橘,是,是-植物,9.31034482758621,植物,水果,0
柑橘,需要,需要-水,9.31034482758621,植物,水果,0
柑橘,有,有-果肉,9.31034482758621,植物,水果,1
柑橘,是,是-酸的,8.27586206896552,植物,水果,1
柑橘,需要,需要-剥开,7.24137931034483,植物,水果,1
柑橘,是,是-橘子,6.20689655172414,植物,水果,1
柑橘,需要,需要-采摘,6.20689655172414,植物,水果,0
柑橘,需要,需要-空气,6.20689655172414,植物,水果,0
柑橘,需要,需要-阳光,6.20689655172414,植物,水果,1
柑橘,需要,需要-种植,6.20689655172414,植物,水果,1
柑橘,有,有-籽,6.20689655172414,植物,水果,0
柑橘,是,是-圆形,4.13793103448276,植物,水果,0
柑橘,像,像-球,4.13793103448276,植物,水果,0
柑橘,需要,需要-土,4.13793103448276,植物,水果,0
柑橘,需要,需要-营养,4.13793103448276,植物,水果,0
柑橘,可以,可以-解渴,3.10344827586207,植物,水果,0
柑橘,可以,可以-买卖,3.10344827586207,植物,水果,0
柑橘,是,是-黄色的,3.10344827586207,植物,水果,0
柑橘,是,是-香的,3.10344827586207,植物,水果,0
柑橘,像,像-柚子,3.10344827586207,植物,水果,1
柑橘,有,有-果实,3.10344827586207,植物,水果,0
柑橘,有,有-维生素,3.10344827586207,植物,水果,1
柑橘,有,有-叶子,3.10344827586207,植物,水果,1
柑橘,有,有-种子,3.10344827586207,植物,水果,1
柑橘,可以,可以-冲泡,2.06896551724138,植物,水果,1
柑橘,其他,其他-富含维生素,2.06896551724138,植物,水果,1
柑橘,其他,其他-橘生淮北则为枳,2.06896551724138,植物,水果,0
柑橘,其他,其他-橘生淮南则为橘,2.06896551724138,植物,水果,1
柑橘,是,是-好吃的,2.06896551724138,植物,水果,0
柑橘,是,是-清香的,2.06896551724138,植物,水果,1
柑橘,是,是-药,2.06896551724138,植物,水果,1
柑橘,像,像-灯笼,2.06896551724138,植物,水果,1
柑橘,像,像-桔子,2.06896551724138,植物,水果,1
柑橘,像,像-芦柑,2.06896551724138,植物,水果,1
柑橘,像,像-柿子,2.06896551724138,植物,水果,0
柑橘,需要,需要-肥料,2.06896551724138,植物,水果,1
柑橘,需要,需要-温暖湿润气候,2.06896551724138,植物,水果,0
柑橘,有,有-多种型号,2.06896551724138,植物,水果,0
柑橘,有,有-多种种类,2.06896551724138,植物,水果,0
柑橘,有,有-果核,2.06896551724138,植物,水果,1
高速公路,是,是-道路,23.0,人造物,建筑,0
高速公路,需要,需要-维护,13.0,人造物,建筑,1
高速公路,有,有-车,12.0,人造物,建筑,1
高速公路,可以,可以-行驶,8.0,人造物,建筑,0
高速公路,是,是-公共的,7.0,人造物,建筑,1
高速公路,是,是-快速的,7.0,人造物,建筑,0
高速公路,有,有-路牌,5.0,人造物,建筑,0
高速公路,是,是-长的,4.0,人造物,建筑,0
高速公路,像,像-带子,4.0,人造物,建筑,0
高速公路,需要,需要-收费,4.0,人造物,建筑,0
高速公路,需要,需要-修建,4.0,人造物,建筑,0
高速公路,可以,可以-高速行驶,3.0,人造物,建筑,0
高速公路,是,是-便捷的,3.0,人造物,建筑,0
高速公路,是,是-宽广的,3.0,人造物,建筑,0
高速公路,是,是-直的,3.0,人造物,建筑,1
高速公路,需要,需要-保养,3.0,人造物,建筑,0
高速公路,有,有-护栏,3.0,人造物,建筑,0
高速公路,有,有-沥青,3.0,人造物,建筑,0
高速公路,有,有-收费站,3.0,人造物,建筑,0
高速公路,有,有-水泥,3.0,人造物,建筑,0
高速公路,可以,可以-开车,2.0,人造物,建筑,0
高速公路,可以,可以-快速行驶,2.0,人造物,建筑,0
高速公路,其他,其他-交通,2.0,人造物,建筑,0
高速公路,是,是-黑色的,2.0,人造物,建筑,0
高速公路,是,是-通道,2.0,人造物,建筑,1
高速公路,是,是-弯的,2.0,人造物,建筑,0
高速公路,像,像-地毯,2.0,人造物,建筑,0
高速公路,像,像-公路,2.0,人造物,建筑,0
高速公路,像,像-河流,2.0,人造物,建筑,0
高速公路,需要,需要-建设,2.0,人造物,建筑,0
高速公路,需要,需要-限速,2.0,人造物,建筑,0
高速公路,有,有-限速,2.0,人造物,建筑,0
高速公路,有,有-油漆,2.0,人造物,建筑,0
鸽子,可以,可以-飞,27.0,动物,鸟,0
鸽子,是,是-动物,24.0,动物,鸟,0
鸽子,是,是-鸟,22.0,动物,鸟,0
鸽子,需要,需要-食物,21.0,动物,鸟,0
鸽子,有,有-翅膀,20.0,动物,鸟,1
鸽子,需要,需要-水,16.0,动物,鸟,0
鸽子,有,有-羽毛,15.0,动物,鸟,0
鸽子,有,有-嘴巴,11.0,动物,鸟,0
鸽子,可以,可以-送信,9.0,动物,鸟,0
鸽子,有,有-爪子,9.0,动物,鸟,0
鸽子,需要,需要-睡觉,8.0,动物,鸟,1
鸽子,是,是-白色的,7.0,动物,鸟,0
鸽子,是,是-禽类,7.0,动物,鸟,0
鸽子,需要,需要-饲养,7.0,动物,鸟,1
鸽子,是,是-食物,6.0,动物,鸟,1
鸽子,需要,需要-空气,6.0,动物,鸟,1
鸽子,像,像-麻雀,5.0,动物,鸟,0
鸽子,需要,需要-保护,5.0,动物,鸟,0
鸽子,需要,需要-谷物,5.0,动物,鸟,0
鸽子,有,有-多种颜色,5.0,动物,鸟,0
鸽子,有,有-眼睛,5.0,动物,鸟,0
鸽子,有,有-头,4.0,动物,鸟,0
鸽子,可以,可以-传信,3.0,动物,鸟,0
鸽子,是,是-生物,3.0,动物,鸟,0
鸽子,像,像-飞机,3.0,动物,鸟,1
鸽子,像,像-海鸥,3.0,动物,鸟,0
鸽子,像,像-喜鹊,3.0,动物,鸟,0
鸽子,像,像-燕子,3.0,动物,鸟,0
鸽子,需要,需要-训练,3.0,动物,鸟,0
鸽子,有,有-多种种类,3.0,动物,鸟,0
鸽子,有,有-脚,3.0,动物,鸟,0
鸽子,可以,可以-传递信息,2.0,动物,鸟,0
鸽子,可以,可以-认家,2.0,动物,鸟,0
鸽子,其他,其他-和平,2.0,动物,鸟,0
鸽子,其他,其他-和平的象征,2.0,动物,鸟,0
鸽子,是,是-聪明的,2.0,动物,鸟,0
鸽子,是,是-和平的,2.0,动物,鸟,1
鸽子,是,是-灰色的,2.0,动物,鸟,0
鸽子,是,是-家养的,2.0,动物,鸟,0
鸽子,是,是-象征,2.0,动物,鸟,1
鸽子,像,像-大雁,2.0,动物,鸟,0
鸽子,像,像-鸡,2.0,动物,鸟,1
鸽子,需要,需要-排泄,2.0,动物,鸟,0
鸽子,需要,需要-阳光,2.0,动物,鸟,0
鸽子,有,有-尖嘴巴,2.0,动物,鸟,0
鸽子,有,有-腿,2.0,动物,鸟,0
鸽子,有,有-尾巴,2.0,动物,鸟,0
拐杖,是,是-棍棒,18.3870967741936,人造物,工具,0
拐杖,是,是-木的,17.4193548387097,人造物,工具,0
拐杖,有,有-把手,15.4838709677419,人造物,工具,0
拐杖,是,是-工具,12.5806451612903,人造物,工具,1
拐杖,是,是-辅助的,7.74193548387097,人造物,工具,1
拐杖,是,是-金属,7.74193548387097,人造物,工具,0
拐杖,需要,需要-制造,7.74193548387097,人造物,工具,0
拐杖,可以,可以-买卖,6.7741935483871,人造物,工具,0
拐杖,是,是-长的,5.80645161290323,人造物,工具,0
拐杖,可以,可以-帮助行走,4.83870967741935,人造物,工具,1
拐杖,可以,可以-行走,4.83870967741935,人造物,工具,1
拐杖,是,是-老年用品,4.83870967741935,人造物,工具,1
拐杖,有,有-多种材质,4.83870967741935,人造物,工具,0
拐杖,可以,可以-打人,3.87096774193548,人造物,工具,0
