Source,relation,Target
吊坠,是,服饰
钓竿,是,工具
钓鱼线,是,工具
丁香,是,花草
丁字裤,是,服饰
订书机,是,工具
钉子,是,工具
冬瓜,是,蔬菜
斗篷,是,服饰
豆豉,是,调料
豆腐,是,固态干粮
豆腐干,是,固态干粮
豆腐脑,是,固态干粮
豆浆,是,酒水饮料
豆奶,是,酒水饮料
豆芽,是,蔬菜
豆子,是,蔬菜
毒蛇,是,陆生动物
独木舟,是,船
船,是,交通工具
短笛,是,乐器
短裤,是,服饰
短裙,是,服饰
短袖,是,服饰
炖锅,是,餐具
炖肉,是,肉食
肉食,是,食物
盾牌,是,武器
多宝鱼,是,水生动物
多米诺骨牌,是,玩具
鹅,是,鸟
蛾子,是,昆虫
鳄梨/牛油果,是,水果
耳垂,是,身体部位
耳朵,是,身体部位
耳环,是,服饰
耳机,是,电器
耳塞,是,工具
耳罩,是,工具
二锅头,是,酒水饮料
发夹,是,服饰
法式面包,是,固态干粮
帆船,是,船
番茄,是,蔬菜
番茄酱,是,调料
方便面,是,固态干粮
方向盘,是,工具
防潮垫,是,工具
防尘罩,是,工具
防弹衣,是,服饰
防滑路面,是,工具
防火门,是,工具
防晒霜,是,工具
防撞护栏,是,工具
房车,是,车
纺织机,是,电器
放大镜,是,工具
飞镖,是,武器
飞船,是,飞机
飞机,是,交通工具
飞碟,是,飞机
飞机,是,飞机
飞盘,是,玩具
飞毯,是,玩具
飞艇,是,飞机
非洲象,是,陆生动物
肥皂,是,工具
肥皂盒,是,工具
狒狒,是,陆生动物
废物箱,是,工具
粪便,是,自然物
风车,是,玩具
风力发电机,是,电器
风铃,是,玩具
风扇,是,电器
风信子,是,花草
风衣,是,服饰
风筝,是,玩具
枫树,是,树木
蜂蜜,是,酒水饮料
蜂箱,是,工具
缝纫机,是,电器
缝衣针,是,工具
扶手椅,是,家具
浮萍,是,花草
浮桥,是,建筑
斧头,是,工具
复印机,是,电器
蝮蛇,是,陆生动物
甘蓝,是,蔬菜
甘蔗,是,水果
柑橘,是,水果
橄榄,是,水果
橄榄球,是,运动器材
橄榄树,是,树木
擀面杖,是,工具
干电池,是,电器
干果,是,固态干粮
钢笔,是,工具
钢筋,是,工具
钢琴,是,乐器
杠杆,是,工具
高尔夫球,是,运动器材
高尔夫球场,是,建筑
高尔夫球杆,是,运动器材
高粱,是,蔬菜
高领毛衣,是,服饰
高速公路,是,建筑
糕点,是,固态干粮
鸽子,是,鸟
割草机,是,电器
羹汤,是,酒水饮料
公告牌,是,工具
公鸡,是,鸟
公交车,是,车
公墓,是,建筑
公文包,是,工具
拱门,是,建筑
沟渠,是,自然物
篝火,是,自然物
狗,是,陆生动物
狗粮,是,固态干粮
狗肉,是,肉食
狗尾草,是,花草
狗项圈,是,工具
枸杞,是,水果
购物车,是,工具
古董,是,工具
谷物,是,固态干粮
谷子,是,固态干粮
骨灰,是,身体部位
骨灰盒,是,工具
骨架,是,身体部位
骨头,是,身体部位
鼓,是,乐器
鼓槌,是,工具
瓜,是,蔬菜
瓜子,是,水果
拐杖,是,工具
关节,是,身体部位
棺材,是,工具
管道,是,工具
灌木,是,树木
罐头,是,固态干粮
罐子,是,工具
光盘,是,电器
棍棒,是,武器
锅,是,餐具
蝈蝈,是,昆虫
国际象棋,是,玩具
国旗,是,工具
果冻,是,固态干粮
果酱,是,调料
果蝇,是,昆虫
果汁,是,酒水饮料
过山车,是,玩具
哈巴狗,是,陆生动物
哈密瓜,是,水果
哈士奇,是,陆生动物
海白菜,是,蔬菜
海报,是,工具
海豹,是,水生动物
海参,是,水生动物
海草,是,蔬菜
海带,是,蔬菜
海胆,是,水生动物
海龟,是,水生动物
海螺,是,水生动物
海绵,是,工具
海牛,是,水生动物
海鸥,是,鸟
海蛇,是,水生动物
海狮,是,水生动物
海獭,是,水生动物
海苔,是,蔬菜
海棠,是,花草
海豚,是,水生动物
海象,是,水生动物
海星,是,水生动物
海洋,是,自然物
海藻,是,蔬菜
海蜇,是,水生动物
含羞草,是,花草
汉堡,是,固态干粮
行车记录仪,是,工具
行李车,是,车
航母,是,飞机
航天飞机,是,飞机
豪华轿车,是,车
豪华客轮,是,船
和服,是,服饰
河马,是,陆生动物
河豚,是,水生动物
荷包蛋,是,固态干粮
荷花,是,花草
荷兰豆,是,蔬菜
核弹,是,武器
核桃,是,水果
核桃树,是,树木
核武器,是,武器
盒子,是,工具
贺卡,是,工具
黑板,是,工具
黑板擦,是,工具
黑豹,是,陆生动物
黑胡椒,是,调料
黑莓,是,水果
黑天鹅,是,鸟
红包,是,工具
红茶,是,酒水饮料
红酒,是,酒水饮料
红酒杯,是,餐具
红烧肉,是,肉食
红薯,是,蔬菜
红糖,是,调料
喉,是,身体部位
猴,是,陆生动物
猴面包树,是,树木
猴子,是,陆生动物
后视镜,是,工具
呼啦圈,是,运动器材
呼吸机,是,医疗用品
狐狸,是,陆生动物
胡瓜,是,蔬菜
胡椒,是,调料
胡椒牛排,是,肉食
胡椒树,是,树木
胡萝卜,是,蔬菜
胡须,是,身体部位
蝴蝶兰,是,花草
护目镜,是,工具
护手霜,是,工具
护腕,是,服饰
护照,是,工具
花,是,花草
花菜,是,蔬菜
花露水,是,工具
花盆,是,服饰
花生,是,固态干粮
花生酱,是,调料
花生米,是,固态干粮
花生油,是,调料
滑板,是,玩具
滑轮,是,玩具
滑翔机,是,飞机
滑雪道,是,玩具
化妆品,是,工具
画笔,是,工具
画架,是,工具
画眉鸟,是,鸟
画纸,是,工具
桦木,是,树木
怀表,是,工具
槐树,是,树木
换气扇,是,电器
浣熊,是,陆生动物
皇冠,是,工具
黄灯,是,电器
黄瓜,是,蔬菜
黄花鱼,是,水生动物
黄金树,是,树木
黄牛,是,陆生动物
黄鼠狼,是,陆生动物
黄水仙,是,花草
黄土,是,自然物
黄油,是,调料
婚纱,是,服饰
馄饨,是,固态干粮
火车,是,车
火锅,是,固态干粮
火鸡,是,鸟
火箭,是,飞机
火烈鸟,是,鸟
火山,是,自然物
火腿,是,肉食
火腿肠,是,肉食
火焰,是,自然物
火药,是,武器
火灾报警器,是,电器
机票,是,工具
机器人,是,电器
机枪,是,武器
鸡蛋,是,固态干粮
鸡冠花,是,花草
鸡肉,是,肉食
鸡尾酒,是,酒水饮料
积木,是,玩具
基因,是,自然物
吉普车,是,车
吉他,是,乐器
计算器,是,工具
记号笔,是,工具
记事本,是,工具
寄居蟹,是,水生动物
鲫鱼,是,水生动物
家鼠,是,陆生动物
夹克,是,服饰
夹竹桃,是,花草
甲鱼,是,水生动物
假发,是,服饰
假山,是,建筑
坚果,是,固态干粮
肩膀,是,身体部位
煎饼,是,固态干粮
煎蛋卷,是,固态干粮
煎鸡蛋,是,固态干粮
减速带,是,建筑
减震器,是,工具
剪刀,是,工具
剑,是,武器
键盘,是,电器
豇豆,是,蔬菜
浆果,是,水果
奖章,是,工具
降落伞,是,工具
酱油,是,调料
交通灯,是,电器
胶带,是,医疗用品
胶卷,是,工具
胶囊,是,医疗用品
胶水,是,工具
椒盐,是,调料
饺子,是,固态干粮
绞肉机,是,电器
脚,是,身体部位
脚背,是,身体部位
脚后跟,是,身体部位
脚链,是,服饰
脚趾,是,身体部位
搅拌机,是,电器
轿车,是,车
轿子,是,工具
睫毛,是,身体部位
戒尺,是,工具
戒指,是,服饰
金龟子,是,昆虫
金橘,是,水果
金毛犬,是,陆生动物
金钱豹,是,陆生动物
金钱草,是,花草
金枪鱼,是,水生动物
金丝雀,是,鸟
金条,是,工具
金银花,是,花草
金鱼,是,水生动物
金针菇,是,蔬菜
金字塔,是,建筑
紧身衣,是,服饰
鲸鱼,是,水生动物
警犬,是,陆生动物
净化器,是,电器
净水器,是,电器
镜框,是,工具
镜子,是,工具
韭菜,是,蔬菜
酒杯,是,餐具
酒壶,是,餐具
救护车,是,车
救生圈,是,工具
桔皮,是,水果
桔子,是,水果
菊花,是,花草
橘子汽水,是,酒水饮料
卷笔刀,是,工具
卷饼,是,固态干粮
卷帘,是,家具
卷筒纸,是,工具
卷心菜,是,蔬菜
决明子,是,花草
蕨菜,是,蔬菜
军装,是,服饰
咖啡,是,酒水饮料
咖啡豆,是,固态干粮
咖啡机,是,电器
咖喱酱,是,调料
卡车,是,车
卡丁车,是,车
开瓶器,是,工具
开心果,是,水果
康乃馨,是,花草
考拉,是,陆生动物
烤翅,是,肉食
烤面包,是,固态干粮
烤排骨,是,肉食
烤全羊,是,肉食
烤肉,是,肉食
烤肉串,是,肉食
烤土豆,是,固态干粮
烤羊肉,是,肉食
靠垫,是,工具
可可巧克力,是,固态干粮
可口可乐,是,酒水饮料
孔雀鱼,是,水生动物
恐龙,是,陆生动物
口腔,是,身体部位
口琴,是,乐器
扣肉,是,肉食
裤子,是,服饰
筷子,是,餐具
葵花,是,花草
葵花籽,是,固态干粮
昆虫,是,昆虫
扩音器,是,乐器
拉链,是,服饰
喇叭,是,乐器
喇叭花,是,花草
腊肠,是,肉食
腊肠犬,是,陆生动物
腊肉,是,肉食
蜡笔,是,工具
蜡像,是,工具
蜡烛,是,工具
辣椒粉,是,调料
辣椒酱,是,调料
兰花,是,花草
栏杆,是,建筑
蓝莓,是,水果
蓝莓酸奶,是,酒水饮料
篮板,是,运动器材
篮球,是,运动器材
缆车,是,车
懒人沙发,是,家具
狼,是,陆生动物
老虎,是,陆生动物
老鼠,是,陆生动物
雷达,是,电器
肋骨,是,身体部位
泪珠,是,身体部位
冷面,是,固态干粮
梨,是,水果
篱笆,是,建筑
礼服,是,服饰
礼帽,是,服饰
李子,是,水果
鲤鱼,是,水生动物
立交桥,是,建筑
沥青,是,工具
荔枝,是,水果
连翘,是,花草
连体衣,是,服饰
连衣裙,是,服饰
莲花,是,花草
莲藕,是,蔬菜
镰刀,是,工具
凉粉,是,固态干粮
凉皮,是,固态干粮
凉鞋,是,服饰
猎豹,是,陆生动物
猎狗,是,陆生动物
羚羊,是,陆生动物
领带,是,服饰
流星,是,自然物
榴莲,是,水果
柳树,是,树木
龙猫,是,陆生动物
龙虾,是,水生动物
楼梯,是,工具
漏斗,是,工具
芦荟,是,水果
录像带,是,电器
录像机,是,电器
录音机,是,电器
鹿,是,陆生动物
路灯,是,电器
路由器,是,电器
露背装,是,服饰
露珠,是,自然物
轮胎,是,工具
轮椅,是,工具
罗汉松,是,树木
萝卜,是,蔬菜
骡子,是,陆生动物
螺丝刀,是,工具
螺蛳,是,水生动物
骆驼,是,陆生动物
驴肉,是,肉食
绿灯,是,电器
绿豆,是,蔬菜
绿豆汤,是,酒水饮料
麻花,是,固态干粮
麻雀,是,鸟
马车,是,车
马齿苋,是,蔬菜
马桶,是,家具
蚂蝗,是,昆虫
蚂蚁,是,昆虫
麦穗,是,花草
麦田,是,工具
馒头,是,固态干粮
鳗鱼,是,水生动物
满天星,是,花草
螨虫,是,昆虫
蔓越莓,是,水果
芒果,是,水果
蟒蛇,是,陆生动物
猫砂,是,工具
猫头鹰,是,鸟
毛豆,是,蔬菜
毛驴,是,陆生动物
毛毛虫,是,昆虫
毛毯,是,家具
毛衣,是,服饰
茅草屋,是,建筑
牦牛,是,陆生动物
牦牛奶,是,酒水饮料
帽子,是,服饰
玫瑰,是,花草
眉毛,是,身体部位
梅花,是,花草
煤气,是,自然物
煤炭,是,自然物
煤田,是,自然物
美洲狮,是,陆生动物
门,是,工具
门把手,是,工具
门铃,是,工具
门锁,是,工具
孟加拉虎,是,陆生动物
迷彩服,是,服饰
迷迭香,是,花草
迷宫,是,玩具
猕猴桃,是,水果
麋鹿,是,陆生动物
米饭,是,固态干粮
米线,是,固态干粮
蜜蜂,是,昆虫
蜜饯,是,固态干粮
蜜桃,是,水果
棉花,是,花草
棉花糖,是,固态干粮
面包酱,是,调料
面粉,是,固态干粮
面筋,是,固态干粮
秒表,是,工具
灭火器,是,工具
摩天轮,是,玩具
摩托车,是,车
磨砂膏,是,工具
蘑菇,是,蔬菜
魔芋,是,固态干粮
抹布,是,工具
抹香鲸,是,水生动物
茉莉花,是,花草
母鸡,是,鸟
母羊,是,陆生动物
牡丹,是,花草
牡蛎,是,水生动物
拇指,是,身体部位
木槌,是,工具
木耳,是,蔬菜
木瓜,是,水果
木马,是,玩具
木乃伊,是,工具
木偶,是,玩具
木炭,是,工具
沐浴液,是,工具
墓碑,是,建筑
奶茶,是,酒水饮料
奶粉,是,酒水饮料
奶酪,是,固态干粮
奶牛,是,陆生动物
奶瓶,是,餐具
奶油,是,固态干粮
南瓜,是,蔬菜
闹钟,是,工具
内裤,是,服饰
内衣,是,服饰
泥鳅,是,水生动物
泥团,是,自然物
鲶鱼,是,水生动物
鸟,是,鸟
尿布,是,服饰
柠檬,是,水果
柠檬水,是,酒水饮料
牛,是,陆生动物
牛奶,是,酒水饮料
牛排,是,肉食
牛肉,是,肉食
牛肉干,是,肉食
牛肉面,是,固态干粮
牛仔裤,是,服饰
牛轧糖,是,固态干粮
纽扣,是,工具
暖气片,是,家具
排气扇,是,电器
排球,是,运动器材
排水管,是,工具
盘子,是,餐具
螃蟹,是,水生动物
跑步机,是,电器
跑车,是,车
跑道,是,工具
跑鞋,是,服饰
泡菜,是,蔬菜
泡泡糖,是,固态干粮
培根,是,肉食
喷泉,是,建筑
盆,是,工具
盆栽,是,花草
碰碰车,是,车
披风,是,服饰
披萨,是,固态干粮
皮带,是,服饰
皮肤,是,身体部位
皮夹克,是,服饰
皮帽,是,服饰
皮艇,是,船
枇杷,是,水果
啤酒杯,是,餐具
琵琶,是,乐器
漂白剂,是,工具
瓢虫,是,昆虫
拼图,是,玩具
乒乓球,是,运动器材
平菇,是,蔬菜
平头螺丝刀,是,工具
苹果,是,水果
苹果汁,是,酒水饮料
屏幕,是,电器
瓶盖,是,工具
瓶装水,是,酒水饮料
瓶子,是,餐具
瓶子树,是,树木
扑克,是,玩具
葡萄,是,水果
葡萄干,是,固态干粮
葡萄酒,是,酒水饮料
葡萄汁,是,酒水饮料
蒲公英,是,花草
普洱茶,是,酒水饮料
瀑布,是,自然物
七巧板,是,玩具
脐橙,是,水果
棋盘,是,玩具
企鹅,是,鸟
气球,是,玩具
汽车,是,车
汽车喇叭,是,工具
汽水,是,酒水饮料
铅笔,是,工具
铅笔盒,是,工具
铅球,是,运动器材
钱包,是,工具
潜艇,是,船
枪,是,武器
墙纸,是,家具
荞麦,是,固态干粮
巧克力,是,固态干粮
巧克力冰淇淋,是,固态干粮
巧克力牛奶,是,酒水饮料
切割机,是,电器
茄子,是,蔬菜
窃听器,是,电器
芹菜,是,蔬菜
青菜,是,蔬菜
青梅,是,水果
青苔,是,花草
清洁球,是,工具
清酒,是,酒水饮料
清汤,是,酒水饮料
蜻蜓,是,昆虫
秋刀鱼,是,水生动物
秋葵,是,蔬菜
秋千,是,玩具
蚯蚓,是,昆虫
球门,是,运动器材
球拍,是,运动器材
球鞋,是,服饰
球衣,是,服饰
曲棍球,是,运动器材
全麦饼干,是,固态干粮
全脂牛奶,是,酒水饮料
泉水,是,酒水饮料
雀斑,是,身体部位
裙子,是,服饰
燃气灶,是,电器
热狗,是,固态干粮
热气球,是,飞机
热水,是,酒水饮料
热水袋,是,工具
人行天桥,是,建筑
蝾螈,是,昆虫
肉末,是,肉食
肉汤,是,酒水饮料
肉丸,是,肉食
乳鸽,是,鸟
润肤霜,是,工具
洒水车,是,车
赛车,是,车
赛道,是,工具
三轮车,是,车
三明治,是,固态干粮
三文鱼,是,水生动物
三叶草,是,花草
桑葚,是,水果
扫帚,是,工具
沙尘暴,是,自然物
沙丁鱼,是,水生动物
沙发,是,家具
沙坑,是,自然物
沙拉,是,固态干粮
沙拉酱,是,调料
沙粒,是,自然物
沙漏,是,工具
纱布,是,医疗用品
砂锅,是,餐具
鲨鱼,是,水生动物
山羊,是,陆生动物
山药,是,蔬菜
山楂,是,水果
山竹,是,水果
杉木,是,树木
珊瑚,是,水生动物
扇贝,是,水生动物
扇子,是,工具
烧杯,是,工具
烧烤,是,固态干粮
勺子,是,餐具
哨子,是,乐器
蛇,是,陆生动物
摄像机,是,电器
生菜,是,蔬菜
生蚝,是,水生动物
生鱼片,是,肉食
绳子,是,工具
圣诞树,是,树木
圣诞袜,是,服饰
狮子,是,陆生动物
十字螺丝刀,是,工具
石碑,是,建筑
石膏,是,医疗用品
石榴,是,水果
石头,是,自然物
石油,是,自然物
时钟,是,工具
试卷,是,工具
收费站,是,建筑
收割机,是,电器
收音机,是,电器
手,是,身体部位
手臂,是,身体部位
手表,是,工具
手电筒,是,电器
手风琴,是,乐器
手机,是,电器
手榴弹,是,武器
手枪,是,武器
手术刀,是,医疗用品
手套,是,服饰
手推车,是,车
手掌,是,身体部位
手指,是,身体部位
寿司,是,固态干粮
寿衣,是,服饰
书,是,工具
书包,是,工具
书柜,是,家具
梳妆台,是,家具
梳子,是,工具
蔬菜沙拉,是,固态干粮
鼠,是,陆生动物
鼠标,是,电器
鼠标垫,是,工具
涮羊肉,是,肉食
双人床,是,家具
爽身粉,是,工具
水,是,酒水饮料
水表,是,工具
水槽,是,工具
水草,是,花草
水管,是,工具
水果沙拉,是,固态干粮
水壶,是,餐具
水晶,是,自然物
水晶球,是,玩具
水龙头,是,工具
水蜜桃,是,水果
水母,是,水生动物
水泥,是,工具
水牛,是,陆生动物
水枪,是,玩具
水杉,是,树木
水蛇,是,水生动物
水手服,是,服饰
水仙花,是,花草
水蛭,是,昆虫
睡袋,是,工具
睡衣,是,服饰
丝瓜,是,蔬菜
丝袜,是,服饰
四季豆,是,蔬菜
四轮马车,是,车
松狮,是,陆生动物
松鼠,是,陆生动物
松树,是,树木
苏打水,是,酒水饮料
速溶咖啡,是,酒水饮料
塑料袋,是,工具
酸菜,是,蔬菜
酸奶,是,酒水饮料
蒜泥,是,蔬菜
算盘,是,工具
碎纸机,是,电器
笋,是,蔬菜
锁,是,工具
台球,是,运动器材
台球桌,是,家具
台式电脑,是,电器
苔藓,是,水果
太空舱,是,飞机
太空服,是,服饰
太师椅,是,家具
太阳,是,自然物
太阳镜,是,工具
坛子,是,工具
昙花,是,花草
坦克,是,武器
汤匙,是,餐具
汤碗,是,餐具
糖果,是,固态干粮
糖浆,是,酒水饮料
螳螂,是,昆虫
桃子,是,水果
陶罐,是,工具
体温计,是,医疗用品
剃须刀,是,电器
剃须泡沫,是,工具
天秤,是,工具
天鹅,是,鸟
天牛,是,昆虫
天文望远镜,是,工具
天线,是,电器
天竺葵,是,花草
甜点,是,固态干粮
甜甜圈,是,固态干粮
甜玉米,是,蔬菜
调料,是,调料
跳蚤,是,昆虫
铁链,是,工具
铁丝网,是,工具
通心粉,是,固态干粮
茼蒿,是,蔬菜
桶,是,工具
头,是,身体部位
头发,是,身体部位
头巾,是,服饰
头盔,是,工具
头皮,是,身体部位
头饰,是,服饰
骰子,是,玩具
透明胶带,是,工具
秃鹰,是,鸟
图钉,是,工具
土豆,是,蔬菜
土豆泥,是,固态干粮
兔,是,陆生动物
兔子,是,陆生动物
推土机,是,车
腿,是,身体部位
豚鼠,是,陆生动物
臀部,是,身体部位
托盘,是,餐具
拖把,是,工具
拖鞋,是,服饰
脱脂奶粉,是,酒水饮料
陀螺,是,玩具
鸵鸟,是,鸟
挖掘机,是,车
袜子,是,服饰
外套,是,服饰
豌豆,是,蔬菜
碗,是,餐具
万花筒,是,玩具
王冠,是,服饰
王座,是,服饰
网纹蟒,是,陆生动物
望远镜,是,工具
威士忌酒,是,酒水饮料
围巾,是,服饰
围裙,是,服饰
卫生巾,是,工具
卫生纸,是,工具
味精,是,调料
温度计,是,工具
蚊帐,是,工具
蚊子,是,昆虫
莴笋,是,蔬菜
蜗牛,是,昆虫
乌龟,是,水生动物
乌龙茶,是,酒水饮料
乌鸦,是,鸟
乌贼,是,水生动物
无花果,是,水果
无人机,是,电器
梧桐,是,树木
蜈蚣,是,昆虫
西瓜,是,水果
西红柿,是,蔬菜
西葫芦,是,蔬菜
西裤,是,服饰
西兰花,是,蔬菜
西装,是,服饰
吸管,是,工具
吸油烟机,是,电器
稀饭,是,酒水饮料
犀牛,是,陆生动物
蜥蜴,是,昆虫
膝盖,是,身体部位
蟋蟀,是,昆虫
洗脸盆,是,工具
洗手液,是,工具
洗碗机,是,电器
洗衣机,是,电器
喜鹊,是,鸟
虾,是,水生动物
仙人掌,是,花草
纤毛虫,是,昆虫
显示器,是,电器
显微镜,是,工具
馅饼,是,固态干粮
相机,是,电器
香槟,是,酒水饮料
香槟杯,是,餐具
香菜,是,蔬菜
香草冰淇淋,是,固态干粮
香肠,是,肉食
香菇,是,蔬菜
香蕉,是,水果
香水,是,工具
香烟,是,固态干粮
箱子,是,家具
响尾蛇,是,陆生动物
向日葵,是,花草
项链,是,服饰
项圈,是,工具
橡皮,是,工具
消防车,是,车
消防栓,是,工具
小白菜,是,蔬菜
小凳子,是,家具
小龙虾,是,水生动物
小麦,是,固态干粮
小米,是,固态干粮
小提琴,是,乐器
鞋,是,服饰
鞋带,是,服饰
鞋垫,是,服饰
鞋柜,是,家具
心脏,是,身体部位
信封,是,工具
信天翁,是,鸟
信箱,是,工具
信纸,是,工具
星星,是,自然物
猩猩,是,陆生动物
杏仁,是,水果
杏子,是,水果
熊,是,陆生动物
熊猫,是,陆生动物
旋转门,是,工具
旋转椅,是,家具
雪花,是,自然物
雪茄,是,固态干粮
雪球,是,自然物
雪绒花,是,花草
血管,是,身体部位
血压计,是,医疗用品
血液,是,工具
薰衣草,是,花草
鸭脖,是,肉食
鸭梨,是,水果
鸭肉,是,肉食
鸭子,是,鸟
